X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Enthalpy_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
0.037406471,0.219600037,0,35806.4883,2000,0,0,0,0.094134904,0,0,668.042786,35806.4883,2000,-6815046.5,-653062.75,1.02E-06,-198678.375,69709.2578,0,-560233.688,196564.25,0,1.1731987,0.689437926,0.043030944,43203.6172,0,0,181.138596,0.001851507,0.992228031,0.004947556,3.18E-17,0.000948682,6.89E-11,0.001875718
0.038999222,0.224087983,0,35794.8516,2000,0,0,0,0.094115108,0,0,667.997253,35794.8516,2000,-6816459.5,-629734.875,1.02E-06,-201325.875,72205.5156,0,-556403.625,199552.422,0,1.17317319,0.689439654,0.042919762,43528.6602,0,0,182.500366,0.001841979,0.992374122,0.004854549,3.07E-17,0.000926359,6.63E-11,0.001844945
0.040621825,0.228565231,0,35793.1602,2000,0,0,0,0.094120324,0,0,667.956482,35793.1602,2000,-6817726.5,-609500.75,1.02E-06,-198729.781,72176.0938,0,-542876.125,197165.172,0,1.17315042,0.689441264,0.042586569,43625.9883,0,0,182.907471,0.001813466,0.99250555,0.004770894,2.94E-17,0.000906012,6.39E-11,0.001817536
0.042250592,0.233040228,0,35791.8242,2000,0,0,0,0.094126448,0,0,667.915771,35791.8242,2000,-6818989,-592455,1.02E-06,-197570.047,71909.9844,0,-538837.75,196122.062,0,1.17312765,0.689442575,0.04276586,43797.5586,0,0,183.62587,0.001828849,0.992635906,0.004687885,2.79E-17,0.000886154,6.15E-11,0.001790007
0.043879364,0.237515241,0,35784.2695,2000,0,0,0,0.094117284,0,0,667.870605,35784.2695,2000,-6820391,-572716.125,1.02E-06,-200579.891,73005.7578,0,-547903.188,199422.391,0,1.17310238,0.689444005,0.043482546,44091.2422,0,0,184.856201,0.001890718,0.992779136,0.004596713,2.62E-17,0.0008653,5.89E-11,0.001758815
0.045508131,0.241990253,0,35771.8789,2000,0,0,0,0.094095811,0,0,667.823669,35771.8789,2000,-6821846,-550924.688,1.02E-06,-203865.422,74201.4219,0,-557690.25,202984.078,0,1.17307615,0.689445674,0.044219755,44261.9688,0,0,185.570984,0.001955318,0.992926955,0.004502608,2.45E-17,0.000844278,5.63E-11,0.001726115
0.047136903,0.246465251,0,35756.9648,2000,0,0,0,0.094067171,0,0,667.778992,35756.9648,2000,-6823232,-529594.625,1.02E-06,-206298.859,75087.0078,0,-565078.188,205672.781,0,1.17305124,0.689447343,0.044853374,44301.9414,0,0,185.737625,0.002011725,0.993067741,0.004413012,2.28E-17,0.00082433,5.37E-11,0.001694915
0.048765671,0.250940263,0,35740.4609,2000,0,0,0,0.094033197,0,0,667.739136,35740.4609,2000,-6824467.5,-510307.875,1.02E-06,-208237.812,75792.6719,0,-571079.75,207857,0,1.17302895,0.689448833,0.045423653,44261.6484,0,0,185.567856,0.002063188,0.993193448,0.004332972,2.15E-17,0.000806322,5.13E-11,0.001667231
0.050394442,0.255415261,0,35722.8555,2000,0,0,0,0.093994774,0,0,667.70575,35722.8555,2000,-6825502.5,-493937.375,1.02E-06,-209926.203,76407.1719,0,-576330.75,209768.125,0,1.17301035,0.689450085,0.04595596,44179.2344,0,0,185.221603,0.002111816,0.993299305,0.004265593,2.07E-17,0.000790851,4.91E-11,0.001644238
0.05202321,0.259890258,0,35704.5039,2000,0,0,0,0.093952641,0,0,667.679688,35704.5039,2000,-6826310,-480848.562,1.02E-06,-211495.109,76978.1953,0,-581167.125,211528.375,0,1.17299581,0.689451039,0.046463788,44079.2539,0,0,184.801849,0.002158736,0.993382335,0.004212729,2.03E-17,0.000778411,4.73E-11,0.001626499
0.053651981,0.264365286,0,35685.7227,2000,0,0,0,0.093907528,0,0,667.661499,35685.7227,2000,-6826874.5,-471129.062,1.02E-06,-213014.844,77531.3281,0,-585762.062,213200.766,0,1.17298555,0.689451635,0.046954211,43980.3125,0,0,184.386612,0.002204539,0.993440866,0.004175452,2.04E-17,0.000769363,4.58E-11,0.001614267
0.055280749,0.268840283,0,35666.8281,2000,0,0,0,0.093860231,0,0,667.651245,35666.8281,2000,-6827192,-464791.125,1.02E-06,-214528.281,78082.1875,0,-590219.562,214823.156,0,1.17297983,0.689451873,0.047431603,43896.3789,0,0,184.03447,0.002249587,0.993474245,0.004154209,2.10E-17,0.000763921,4.48E-11,0.001607582
0.05690952,0.273315281,0,35648.1992,2000,0,0,0,0.093811683,0,0,667.64917,35648.1992,2000,-6827255.5,-462077.656,1.03E-06,-216069.141,78643.0156,0,-594629.812,216428.344,0,1.17297876,0.689451694,0.047899816,43863.9414,0,0,183.898392,0.002294213,0.993481696,0.004149477,2.19E-17,0.000762252,4.42E-11,0.001606549
0.058538288,0.277790308,0,35630.082,2000,0,0,0,0.093762748,0,0,667.65448,35630.082,2000,-6827090,-462077.656,1.03E-06,-217608.234,79203.1953,0,-598909.312,217985.906,0,1.17298162,0.689451218,0.048355762,43860.4961,0,0,183.884048,0.002338088,0.993465483,0.004159789,2.30E-17,0.000764183,4.40E-11,0.001610506
