X,Y,Z,P,T,U,V,W,R,M,VelMag,Sound_speed,P_total,T_total,Heat_release,Kn,U_x,U_y,U_z,V_x,V_y,V_z,Gamma,Prandtl,Y_plus,Qdot,Qdot_tran,Qdot_enthalpy,Nu,Cell_Re,CO2,CO,C2,O2,C,O
0.007051903,0.021616999,0,138738.297,2000,0,0,0,0.296472549,0,0,760.000854,138738.297,2000,-645231360,2.92E-07,-18320.3633,6670.05713,0,-61418.8398,22362.2988,0,1.2338444,0.685988069,0.022860145,389170.719,0,0,1699.5061,0.000518503,0.541475296,0.291818082,3.95E-19,0.160344571,1.27E-11,0.006361971
0.007214468,0.022063643,0,138734.594,2000,0,0,0,0.296203345,0,0,760.427551,138734.594,2000,-673554816,2.92E-07,-19768.7363,7197.57227,0,-67004.8984,24396.8223,0,1.23414087,0.685960054,0.022909621,398263.938,0,0,1739.42688,0.000520804,0.539801657,0.292883545,2.79E-19,0.16076766,1.32E-11,0.006547109
0.007377033,0.022510286,0,138730.188,2000,0,0,0,0.295881182,0,0,760.939148,138730.188,2000,-709799680,2.92E-07,-21591.6777,7861.62793,0,-73959.0312,26929.8359,0,1.234496,0.685924649,0.023106301,409284.062,0,0,1787.81116,0.000529867,0.537816703,0.294147104,1.11E-18,0.161258757,1.48E-11,0.006777349
0.007539598,0.02295693,0,138724.797,2000,0,0,0,0.295468062,0,0,761.596924,138724.797,2000,-764711040,2.92E-07,-23927.7852,8712.55566,0,-82738.6719,30127.7168,0,1.23495102,0.68587625,0.023465332,423679.938,0,0,1851.01416,0.000546596,0.535323918,0.295734048,2.88E-18,0.161845595,1.65E-11,0.007096433
0.007702163,0.023403574,0,138718.047,2000,0,0,0,0.294897676,0,0,762.508484,138718.047,2000,-857496704,2.93E-07,-26585.3379,9679.75781,0,-94948.1406,34577.4805,0,1.23557758,0.685803711,0.024108,446811.75,0,0,1952.49182,0.000577109,0.532030344,0.297830671,4.81E-18,0.162537798,1.85E-11,0.007601137
0.007864729,0.023850219,0,138709.766,2000,0,0,0,0.29410997,0,0,763.772888,138709.766,2000,-1.01E+09,2.93E-07,-30851.1855,11236.3818,0,-118224.953,43070.9531,0,1.23643887,0.685691714,0.025732979,495408.75,0,0,2165.39478,0.000658607,0.527753472,0.300553292,7.41E-18,0.163278684,2.07E-11,0.008414504
0.008027294,0.024296863,0,138697,2000,0,0,0,0.293227851,0,0,765.182495,138697,2000,-1.17E+09,2.94E-07,-55935.668,21518.832,0,-160079.734,61490.5352,0,1.23739612,0.68554765,0.030174261,571252.812,0,0,2497.51978,0.000917711,0.523147464,0.303485423,8.73E-18,0.163982615,1.89E-11,0.009384428
0.008205008,0.024737062,0,138673.172,2000,0,0,0,0.292949289,0,0,765.57135,138673.172,2000,-986479680,2.94E-07,-87373.3594,52185.4648,0,-145983.391,87049.5391,0,1.23768842,0.685482979,0.040718742,532727.812,0,0,2329.52979,0.001715896,0.521009624,0.304846376,7.60E-18,0.164828658,1.48E-11,0.009315312
0.008506809,0.02510079,0,138649.422,2000,0,0,0,0.294114023,0,0,763.588684,138649.422,2000,-563271616,2.93E-07,-44656.5,53481.168,0,-53341.3711,63774.0586,0,1.2363956,0.6856758,0.04229904,350590.844,0,0,1533.06848,0.001823448,0.52579397,0.301800698,4.48E-18,0.165111333,8.54E-12,0.007293948
0.008919203,0.025331691,0,138643.703,2000,0,0,0,0.298309237,0,0,756.715088,138643.703,2000,-213125664,2.91E-07,-4653.64258,13311.5957,0,-6486.27686,18891.3223,0,1.2316227,0.686250389,0.028247111,190760.875,0,0,832.95752,0.000845799,0.552654922,0.284701258,1.82E-18,0.158367425,3.33E-12,0.004276337
0.009387037,0.025398886,0,138648.656,2000,0,0,0,0.305351198,0,0,745.556458,138648.656,2000,-213125664,2.88E-07,-773.043762,-15578.6934,0,307.265747,6103.41406,0,1.22377419,0.686986804,0.022346098,131908.234,0,0,573.141907,0.000489572,0.603812039,0.252135128,1.67E-18,0.141754195,3.02E-12,0.00229857
0.009864527,0.02528597,0,138652.188,2000,0,0,0,0.310555249,0,0,737.59906,138652.188,2000,-127281824,2.86E-07,-7238.34082,-16109.6201,0,4891.78076,10829.0674,0,1.21819246,0.687412918,0.023276841,160970.594,0,0,696.735596,0.000541015,0.643392861,0.226938397,1.54E-18,0.127588928,2.92E-12,0.0020798
0.01026552,0.025003213,0,138654.016,2000,0,0,0,0.31214115,0,0,735.214722,138654.016,2000,-196771328,2.85E-07,-8546.09082,-9818.78613,0,11096.832,12722.2754,0,1.21650028,0.687509239,0.019683538,212248.953,0,0,917.637878,0.000377749,0.656559944,0.218556345,1.16E-18,0.12236736,2.84E-12,0.002516304
0.010602244,0.024642311,0,138655.25,2000,0,0,0,0.312584698,0,0,734.551086,138655.25,2000,-196771328,2.85E-07,-5220.33105,-4913.26807,0,11025.2568,10363.084,0,1.21602154,0.68753612,0.016207904,231390.641,0,0,1000.01001,0.000243469,0.660548031,0.216017574,9.12E-19,0.120672479,2.61E-12,0.002761878
0.010941241,0.024283456,0,138656.078,2000,0,0,0,0.312979579,0,0,733.968689,138656.078,2000,-201652592,2.84E-07,-2547.67603,-2411.89551,0,8008.26123,7572.28174,0,1.21562159,0.687574267,0.013981931,221701.188,0,0,957.898315,0.000170287,0.663364351,0.214224711,9.39E-19,0.119696252,2.14E-12,0.002714616
0.011280237,0.0239246,0,138656.719,2000,0,0,0,0.313435167,0,0,733.300537,138656.719,2000,-187141360,2.84E-07,-1093.98999,-1037.91809,0,6222.01074,5882.40723,0,1.21517146,0.687623739,0.012638832,208461.984,0,0,900.481812,0.000129216,0.666317642,0.212344691,1.12E-18,0.118783958,2.18E-12,0.002553664
0.011619234,0.023565745,0,138657.172,2000,0,0,0,0.313943684,0,0,732.556091,138657.172,2000,-172279104,2.84E-07,27.4298649,22.890873,0,5023.90332,4749.17676,0,1.21467018,0.687674403,0.011860513,195958.734,0,0,846.243958,0.000103532,0.669619679,0.210242644,9.88E-19,0.117758781,1.98E-12,0.002378849
0.01195823,0.02320689,0,138657.547,2000,0,0,0,0.314504892,0,0,731.736633,138657.547,2000,-155874064,2.84E-07,738.591492,695.974915,0,4242.26025,4009.4502,0,1.21411872,0.687728405,0.011449278,183328.531,0,0,791.461731,8.92E-05,0.673274815,0.207915828,6.27E-19,0.116615124,1.67E-12,0.002194203
0.012297227,0.022848036,0,138657.906,2000,0,0,0,0.315072536,0,0,730.910156,138657.906,2000,-140162240,2.84E-07,1121.71082,1058.80518,0,3797.50708,3588.39917,0,1.21356237,0.687781215,0.011262978,171861.875,0,0,741.727112,8.25E-05,0.676996768,0.205546454,1.94E-19,0.115434825,1.40E-12,0.002021896
0.012636223,0.022489181,0,138658.297,2000,0,0,0,0.315600246,0,0,730.144226,138658.297,2000,-126729904,2.83E-07,1305.10571,1232.47876,0,3546.98975,3351.35254,0,1.21304667,0.68782872,0.011160947,162315.922,0,0,700.322021,7.93E-05,0.680480063,0.203329042,1.70E-20,0.114315562,1.25E-12,0.001875312
0.01297522,0.022130325,0,138658.688,2000,0,0,0,0.316037774,0,0,729.510864,138658.688,2000,-115987024,2.83E-07,1387.19556,1310.27942,0,3387.22021,3200.2085,0,1.21261954,0.687866211,0.011087963,155320.969,0,0,669.972534,7.73E-05,0.683406293,0.201466233,2.79E-20,0.113355733,1.02E-12,0.001771722
0.013314216,0.02177147,0,138659.078,2000,0,0,0,0.316372633,0,0,729.027527,138659.078,2000,-109783896,2.83E-07,1395.01111,1317.90955,0,3294.97583,3112.83154,0,1.21229362,0.687894583,0.011027695,150061.578,0,0,647.161072,7.60E-05,0.685649216,0.200038388,2.76E-20,0.112615943,8.13E-13,0.001696403
0.013653213,0.021412615,0,138659.5,2000,0,0,0,0.316603482,0,0,728.695618,138659.5,2000,-103871120,2.83E-07,1365.90308,1290.41736,0,3233.79541,3055.06299,0,1.2120707,0.687915027,0.010962769,146184.516,0,0,630.359741,7.51E-05,0.687165618,0.199073076,3.19E-20,0.112125635,7.20E-13,0.001635641
0.01399221,0.021053761,0,138659.938,2000,0,0,0,0.316717446,0,0,728.532837,138659.938,2000,-100319296,2.83E-07,1325.18445,1252.02588,0,3168.55103,2993.43164,0,1.21196187,0.687925458,0.010880197,144116.531,0,0,621.405212,7.39E-05,0.687894106,0.198609322,3.30E-20,0.11189656,6.65E-13,0.001599982
0.014331206,0.020694906,0,138660.391,2000,0,0,0,0.316728652,0,0,728.518616,138660.391,2000,-98417480,2.83E-07,1259.66663,1190.22949,0,3106.74585,2935.02197,0,1.2119534,0.687927604,0.010773649,143218.047,0,0,617.532166,7.25E-05,0.687921524,0.198591858,3.42E-20,0.111903578,6.58E-13,0.001582994
0.014670203,0.020336051,0,138660.875,2000,0,0,0,0.316654295,0,0,728.628052,138660.875,2000,-97817216,2.83E-07,1172.479,1107.92053,0,3043.06445,2874.90283,0,1.2120285,0.687922835,0.010640481,143246.734,0,0,617.688721,7.09E-05,0.687362194,0.198947936,3.36E-20,0.112109587,6.69E-13,0.001580262
